,Title,Price,Category,Subcategory,Location,City,Condition,Brand
1,24 Inches Dell Monitor,35000.0,Computer Monitors,computer-monitors,Lagos State,Ojo,Used,Dell
2,DI machine direct image ,3000.0,Printers & Scanners,printers-and-scanners,,Lagos State,,
3,Wireless Gaming Console Stick,25000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Surulere,,
4,Brand New Hisence 58 Inch 4ktv,599999.0,TV & DVD Equipment,tv-dvd-equipment,,Ebonyi State,Brand New,
5,5G Wifi Plus LTE CAT4/Super Software Mobile Router,35000.0,Networking Products,networking-products,Lagos State,Lagos Island (Eko),Brand New,
6,Laptop Asus TUF Gaming A15 16GB Intel Core I5 SSD 512GB,800000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Used,Asus
7,Android Tv Box,25000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ojota,Brand New,
8,Ips Flameless Rotating Monitor,110000.0,Computer Monitors,computer-monitors,Lagos State,Ojo,Refurbished,
9,Laptop Dell Precision 15 5540 32GB Intel Core I7 SSD 512GB,890000.0,Laptops & Computers,computers-and-laptops,Lagos State,Ikeja,Used,Dell
10,All Types of Zealot Panel Available,25000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
11,Lg 65 Inches Smart Tv,350000.0,TV & DVD Equipment,tv-dvd-equipment,Lagos State,Ojo,Brand New,
12,Starlink V4 Gen 3,180000.0,Networking Products,networking-products,Lagos State,Ifako-Ijaiye,Brand New,
13,Sharp BP-20M24,1950000.0,Printers & Scanners,printers-and-scanners,Lagos State,Lagos Island (Eko),Brand New,
14,"Colored 3 in 1, Photocopy Machine",150000.0,Printers & Scanners,printers-and-scanners,Lagos State,Victoria Island,Used,
15,"Acer Predator 28"" Uhd 144hz Ips Gaming Monitor",550000.0,Computer Monitors,computer-monitors,Lagos State,Ikeja,Used,Acer
16,Starlink Gen 3 Pipe Adapter for Dish Mounting,38000.0,Networking Products,networking-products,Lagos State,Ifako-Ijaiye,Brand New,
17,Laptop Sony 8GB Intel Pentium HDD 500GB,105000.0,Laptops & Computers,computers-and-laptops,Lagos State,Surulere,Used,Sony
18,"Kolas Laptop Power Bank for Hp, Dell, Mac Book Laptops",115000.0,Computer Accessories ,computer-accessories,Abuja (FCT),Jabi,Brand New,HP
19,Starlink Standard Kit,440000.0,Networking Products,networking-products,Lagos State,Ikeja,Brand New,
20,Xerox Versant 180 Toner,150000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Lagos Island (Eko),,
21,6 Way Surge Pdu,18000.0,Accessories & Supplies for Electronics,accessories-and-supplies-for-electronics,Lagos State,Ikeja,,
22,Laptop Lenovo 2GB Intel Celeron SSD 32GB,60000.0,Laptops & Computers,computers-and-laptops,Lagos State,Surulere,Used,Lenovo
23,Folding Jack Knife Security,20000.0,Security & Surveillance,security-and-surveillance,Lagos State,Lagos Island (Eko),,
24,Very Clean Playstation 3.,70000.0,Video Game Consoles,video-games-and-consoles,Lagos State,Ikorodu,Used,
25,Wireless Smart Solar Wifi Camera,65000.0,Security & Surveillance,security-and-surveillance,Lagos State,Ikeja,,
26,Laptop HP Omen 17 16GB Intel Core i7 HDD 1T,550000.0,Laptops & Computers,computers-and-laptops,Abuja (FCT),Wuse 2,Used,HP
27,Tested and Trusted Playstation 3.,70000.0,Video Game Consoles,video-games-and-consoles,Lagos State,Ikorodu,Used,
28,Laptop Apple MacBook Pro 2020 8GB Apple M1 SSD 256GB,750000.0,Laptops & Computers,computers-and-laptops,Oyo State,Ibadan,Used,Apple
29,Hp Elite Display (Flameless),100000.0,Computer Monitors,computer-monitors,Lagos State,Ojo,Used,HP
30,Gen2 Starlink V2 Only Dish,300000.0,Networking Products,networking-products,Lagos State,Ifako-Ijaiye,Brand New,
31,High Quality and Fast UK Used Playstation 3.,70000.0,Video Game Consoles,video-games-and-consoles,Ogun State,Ado-Odo/Ota,Used,
